Symbol,Original Name,Hebrew Name,Short Name,Sector,Type,Needs Review
ABRA.TA,Abra Information Technologies,Abra Information Technologies,,מניות - ישראל,Stock,Yes
ACCL.TA,Accel Solutions Group Ltd,Accel Solutions Group Ltd,,מניות - ישראל,Stock,Yes
ACKR.TA,Ackerstein Group Ltd,Ackerstein Group Ltd,,מניות - ישראל,Stock,Yes
ACRO.TA,Kvutzat Acro Ltd.,Kvutzat Acro Ltd.,,מניות - ישראל,Stock,Yes
ADGR.TA,Adgar Investments and Development Ltd,Adgar Investments and Development Ltd,Adgar Investments and Developm,מניות - ישראל,Stock,Yes
AFHL.TA,Afcon Holdings Ltd,Afcon Holdings Ltd,,מניות - ישראל,Stock,Yes
AFPR.TA,Afi Properties Ltd,Afi Properties Ltd,,מניות - ישראל,Stock,Yes
AFRE.TA,Africa Israel Residences Ltd,Africa Israel Residences Ltd,,מניות - ישראל,Stock,Yes
AILN.TA,Axilion Smart Mobility Ltd,Axilion Smart Mobility Ltd,,מניות - ישראל,Stock,Yes
ALAR.TA,Alarum Technologies Ltd.,Alarum Technologies Ltd.,,מניות - ישראל,Stock,Yes
ALBA.TA,Al-Bad Massuot Yitzhak Ltd,Al-Bad Massuot Yitzhak Ltd,,מניות - ישראל,Stock,Yes
ALHE.TA,Alony Hetz Properties and Investments Ltd,Alony Hetz Properties and Investments Ltd,Alony Hetz Properties and Inve,מניות - ישראל,Stock,Yes
ALLT.TA,Allot Communications Ltd,Allot Communications Ltd,,מניות - ישראל,Stock,Yes
ALMA.TA,Almogim Holdings Ltd,Almogim Holdings Ltd,,מניות - ישראל,Stock,Yes
ALMD.TA,Allmed Solutions Ltd,Allmed Solutions Ltd,,מניות - ישראל,Stock,Yes
ALMO.TA,Gix Internet Ltd,Gix Internet Ltd,,מניות - ישראל,Stock,Yes
ALRPR.TA,Alrov Properties & Lodgings Ltd,Alrov Properties & Lodgings Ltd,Alrov Properties & Lodgings Lt,מניות - ישראל,Stock,Yes
ALTF.TA,Altshuler Shaham Financial LTD,אלטשולר שחם Shaham Financial LTD,אלטשולר שחם Shaham Financial L,מניות - ישראל,Stock,No
ALUMA.TA,Aluma Infrastructure Fund 2020 Ltd,Aluma Infrastructure קרן 2020 Ltd,Aluma Infrastructure קרן 2020,מניות - ישראל,Stock,No
AMAN.TA,Amanet Management & Systems Ltd,Amanet Management & Systems Ltd,Amanet Management & Systems Lt,מניות - ישראל,Stock,Yes
AMD.TA,Amiad Water Systems Ltd,Amiad Water Systems Ltd,,מניות - ישראל,Stock,Yes
AMDA.TA,Almeda Ventures Limited Partnership,Almeda Ventures Limited Partnership,Almeda Ventures Limited Partne,מניות - ישראל,Stock,Yes
AMOT.TA,Amot Investments Ltd,Amot Investments Ltd,,מניות - ישראל,Stock,Yes
AMRK.TA,Amir Marketing and Investments in Agriculture Ltd,Amir Marketing and Investments in Agriculture Ltd,Amir Marketing and Investments,מניות - ישראל,Stock,Yes
AMX.TA,Automax Motors Ltd,Automax Motors Ltd,,מניות - ישראל,Stock,Yes
ANGL.TA,Salomon A Angel Ltd,Salomon A Angel Ltd,,מניות - ישראל,Stock,Yes
ANLT.TA,Analyst IMS Investment Management Services Ltd,אנליסט IMS Investment Management Services Ltd,אנליסט IMS Investment Manageme,מניות - ישראל,Stock,No
APLP.TA,Apollo Power Ltd,Apollo Power Ltd,,מניות - ישראל,Stock,Yes
APLY.TA,Aerodrome Group Ltd,Aerodrome Group Ltd,,מניות - ישראל,Stock,Yes
AQUA.TA,Aquarius Engines AM Ltd,Aquarius Engines AM Ltd,,מניות - ישראל,Stock,Yes
ARAD.TA,Arad Investment & Industrial Development Ltd,Arad Investment & Industrial Development Ltd,Arad Investment & Industrial D,מניות - ישראל,Stock,Yes
ARAN.TA,Aran Research and Development 1982 Ltd,Aran Research and Development 1982 Ltd,Aran Research and Development,מניות - ישראל,Stock,Yes
ARBE.TA,Arbe Robotics Ltd.,Arbe Robotics Ltd.,,מניות - ישראל,Stock,Yes
ARD.TA,Arad Ltd,Arad Ltd,,מניות - ישראל,Stock,Yes
ARDM.TA,Aerodrome Group Ltd,Aerodrome Group Ltd,,מניות - ישראל,Stock,Yes
ARF.TA,ASHDOD REFINERY LTD,ASHDOD REFINERY LTD,,מניות - ישראל,Stock,Yes
ARGO.TA,Argo Properties NV,Argo Properties NV,,מניות - ישראל,Stock,Yes
ARIN.TA,Ari Real Estate Arena Investment Ltd,Ari Real Estate Arena Investment Ltd,Ari Real Estate Arena Investme,מניות - ישראל,Stock,Yes
ARNA.TA,Arena Star Group Ltd,Arena Star Group Ltd,,מניות - ישראל,Stock,Yes
ARPT.TA,Airport City Ltd,Airport City Ltd,,מניות - ישראל,Stock,Yes
ARTS.TA,Airtouch Solar Ltd,Airtouch Solar Ltd,,מניות - ישראל,Stock,Yes
ARYT.TA,Aryt Industries Ltd,Aryt Industries Ltd,,מניות - ישראל,Stock,Yes
ASGR.TA,Aspen Group Ltd,Aspen Group Ltd,,מניות - ישראל,Stock,Yes
ASHG.TA,Ashtrom Group Ltd,Ashtrom Group Ltd,,מניות - ישראל,Stock,Yes
ASHO.TA,Ashot Ashkelon Industries Ltd,Ashot Ashkelon Industries Ltd,,מניות - ישראל,Stock,Yes
ATRY.TA,Atreyu Capital Markets Ltd,Atreyu Capital Markets Ltd,,מניות - ישראל,Stock,Yes
AUDC.TA,AudioCodes Ltd,AudioCodes Ltd,,מניות - ישראל,Stock,Yes
AUGN.TA,Augwind Energy Tech Storage Ltd,Augwind Energy Tech Storage Ltd,Augwind Energy Tech Storage Lt,מניות - ישראל,Stock,Yes
AUIS.TA,ES Australia Israel Holdings Ltd,ES Australia Israel Holdings Ltd,ES Australia Israel Holdings L,מניות - ישראל,Stock,Yes
AURA.TA,Aura Investments Ltd,Aura Investments Ltd,,מניות - ישראל,Stock,Yes
AVER.TA,Averbuch Formica Center Ltd,Averbuch Formica Center Ltd,,מניות - ישראל,Stock,Yes
AVGD.TA,Av Gad Holdings Ltd,Av Gad Holdings Ltd,,מניות - ישראל,Stock,Yes
AVGL.TA,Avgol Industries 1953 Ltd,Avgol Industries 1953 Ltd,,מניות - ישראל,Stock,Yes
AVIA.TA,Aviation Links Ltd,Aviation Links Ltd,,מניות - ישראל,Stock,Yes
AVIV.TA,Mordechai Aviv Taasiot Beniyah 1973 Ltd,Mordechai Aviv Taasiot Beniyah 1973 Ltd,Mordechai Aviv Taasiot Beniyah,מניות - ישראל,Stock,Yes
AVLN.TA,Aviv Arlon Ltd,Aviv Arlon Ltd,,מניות - ישראל,Stock,Yes
AVRT.TA,Avrot Industries Ltd,Avrot Industries Ltd,,מניות - ישראל,Stock,Yes
AYAL.TA,Ayalon Holdings Ltd,איילון Holdings Ltd,,מניות - ישראל,Stock,No
AZRG.TA,Azrieli Group Ltd,Azrieli Group Ltd,,מניות - ישראל,Stock,Yes
AZRM.TA,Azorim Investment Development and Construction Co Ltd,Azorim Investment Development and Construction Co Ltd,Azorim Investment Development,מניות - ישראל,Stock,Yes
AZRT.TA,Reit Azorim HF Living Ltd,Reit Azorim HF Living Ltd,,מניות - ישראל,Stock,Yes
BBYL.TA,Abra Information Technologies Ltd,Abra Information Technologies Ltd,Abra Information Technologies,מניות - ישראל,Stock,Yes
BEZQ.TA,Bezeq Israeli Telecommunication Corp Ltd,Bezeq Israeli Telecommunication Corp Ltd,Bezeq Israeli Telecommunicatio,מניות - ישראל,Stock,Yes
BHNY.TA,Beeio Honey Ltd,Beeio Honey Ltd,,מניות - ישראל,Stock,Yes
BIG.TA,Big Shopping Centers Ltd,Big Shopping Centers Ltd,,מניות - ישראל,Stock,Yes
BIGT.TA,Big Tech 50 R&D-Limited Partnership,Big Tech 50 R&D-Limited Partnership,Big Tech 50 R&D-Limited Partne,מניות - ישראל,Stock,Yes
BIMT.TA,Bio Meat Foodtech - Limited Partnership,Bio Meat Foodtech - Limited Partnership,Bio Meat Foodtech - Limited Pa,מניות - ישראל,Stock,Yes
BIOV.TA,Bio-View Ltd,Bio-View Ltd,,מניות - ישראל,Stock,Yes
BIRM.TA,Birman Wood and Hardware Ltd,Birman Wood and Hardware Ltd,,מניות - ישראל,Stock,Yes
BKFR.TA,Bait Bakfar Ltd,Bait Bakfar Ltd,,מניות - ישראל,Stock,Yes
BKRY.TA,Bikurey Hasade Holdings Ltd,Bikurey Hasade Holdings Ltd,,מניות - ישראל,Stock,Yes
BLEG.TA,Blackedge Ltd,Blackedge Ltd,,מניות - ישראל,Stock,Yes
BLGO.TA,Buligo Capital Ltd,Buligo Capital Ltd,,מניות - ישראל,Stock,Yes
BLND.TA,Blender Financial Technologies Ltd,Blender Financial Technologies Ltd,Blender Financial Technologies,מניות - ישראל,Stock,Yes
BLRN.TA,Bladeranger Ltd,Bladeranger Ltd,,מניות - ישראל,Stock,Yes
BLRX.TA,BioLine RX Ltd,BioLine RX Ltd,,מניות - ישראל,Stock,Yes
